epoch,steps_completed,steps_total,duration_s,ms_per_step,loss,psnr,val_loss,val_psnr
1.0,1080.0,1080.0,502.0,464.0,0.0182,33.8637,,
2.0,1080.0,1080.0,463.0,428.0,0.0168,34.4248,,
3.0,1080.0,1080.0,462.0,428.0,0.0161,34.9629,,
4.0,1080.0,1080.0,535.0,496.0,0.0167,34.69,0.0147,36.4759
5.0,1080.0,1080.0,462.0,428.0,0.0162,34.8028,,
6.0,1080.0,1080.0,462.0,428.0,0.016,34.9213,,
7.0,1080.0,1080.0,462.0,428.0,0.0161,34.9212,,
8.0,1080.0,1080.0,534.0,494.0,0.0162,34.94,0.0144,36.4492
9.0,1080.0,1080.0,463.0,428.0,0.0157,35.0642,,
10.0,1080.0,1080.0,463.0,429.0,0.0159,34.9222,,
11.0,1080.0,1080.0,479.0,443.0,0.0157,35.2044,,
12.0,1080.0,1080.0,555.0,513.0,0.0155,35.2131,0.0142,36.6874
13.0,1080.0,1080.0,481.0,445.0,0.0157,35.0812,,
14.0,1080.0,1080.0,480.0,445.0,0.0157,35.1058,,
15.0,1080.0,1080.0,481.0,445.0,0.0156,35.2246,,
16.0,1080.0,1080.0,555.0,514.0,0.0159,35.1931,0.0142,36.7569
17.0,1080.0,1080.0,484.0,448.0,0.0155,35.2981,,
18.0,1080.0,1080.0,481.0,445.0,0.0157,35.1487,,
19.0,1080.0,1080.0,481.0,445.0,0.0157,35.1869,,
20.0,1080.0,1080.0,555.0,514.0,0.0157,34.9834,0.014,36.7753
21.0,1080.0,1080.0,480.0,445.0,0.0155,35.2172,,
22.0,1080.0,1080.0,481.0,445.0,0.0155,35.2712,,
23.0,1080.0,1080.0,481.0,445.0,0.0154,35.4066,,
24.0,1080.0,1080.0,555.0,513.0,0.0152,35.3979,0.014,36.8871
25.0,1080.0,1080.0,480.0,445.0,0.0157,35.1969,,
26.0,1080.0,1080.0,480.0,445.0,0.0153,35.3644,,
27.0,1080.0,1080.0,481.0,445.0,0.0151,35.435,,
28.0,1080.0,1080.0,556.0,514.0,0.0156,35.2074,0.014,36.8639
29.0,1080.0,1080.0,481.0,445.0,0.0152,35.5885,,
30.0,1080.0,1080.0,481.0,445.0,0.0154,35.2891,,
31.0,1080.0,1080.0,480.0,445.0,0.0156,35.2704,,
32.0,1080.0,1080.0,555.0,514.0,0.0151,35.5516,0.014,36.8116
33.0,1080.0,1080.0,481.0,445.0,0.0154,35.3864,,
34.0,1080.0,1080.0,481.0,445.0,0.0155,35.3007,,
35.0,1080.0,1080.0,481.0,445.0,0.0155,35.2239,,
36.0,1080.0,1080.0,554.0,513.0,0.0156,35.1707,0.014,36.8877
37.0,1080.0,1080.0,481.0,445.0,0.0153,35.4108,,
38.0,1080.0,1080.0,481.0,445.0,0.0154,35.3109,,
39.0,1080.0,1080.0,481.0,445.0,0.0151,35.5433,,
40.0,1080.0,1080.0,555.0,513.0,0.0153,35.4921,0.0139,36.9243
41.0,1080.0,1080.0,480.0,445.0,0.0154,35.3653,,
42.0,1080.0,1080.0,481.0,445.0,0.0153,35.419,,
43.0,1080.0,1080.0,480.0,445.0,0.0152,35.5289,,
44.0,1080.0,1080.0,555.0,514.0,0.015,35.4295,0.0138,37.0284
45.0,1080.0,1080.0,481.0,445.0,0.0153,35.4276,,
46.0,1080.0,1080.0,481.0,446.0,0.0154,35.3147,,
47.0,1080.0,1080.0,481.0,445.0,0.0151,35.5674,,
48.0,1080.0,1080.0,554.0,513.0,0.0151,35.5623,0.0138,36.853
49.0,1080.0,1080.0,481.0,445.0,0.0149,35.528,,
50.0,1080.0,1080.0,481.0,445.0,0.0152,35.5213,,
51.0,1080.0,1080.0,481.0,446.0,0.0152,35.4972,,
52.0,1080.0,1080.0,555.0,514.0,0.0149,35.6024,0.0138,37.0379
53.0,1080.0,1080.0,481.0,445.0,0.0154,35.3616,,
54.0,1080.0,1080.0,481.0,445.0,0.0154,35.375,,
55.0,1080.0,1080.0,481.0,445.0,0.0148,35.6853,,
56.0,1080.0,1080.0,554.0,513.0,0.015,35.6,0.0138,37.06
57.0,1080.0,1080.0,480.0,444.0,0.015,35.569,,
